MATRICULA,NOME,EST_CIVIL,GRAU_INSTRUCAO,NASC_DT,SEXO,LOCALIZACAO,FUNCAO_LOCALIZACAO,LOCALIZACAO_DT,POSSE_BANCO_DT
6983182,Maria Sophia Borges,1,8,2081978,2,8008,12381,2021-05-07,2008-10-01
7015222,Maria Vitória Oliveira,1,8,14101968,2,8008,12051,2022-02-14,2010-09-20
7093726,Mariane Novaes,1,8,30031981,2,8008,12331,2023-11-01,2008-10-20
7142981,Matheus Câmara,1,8,10101977,1,8008,12331,2024-03-15,2001-12-10
7279086,Maya Silva,1,8,8061984,2,8008,12331,2024-01-02,2006-03-27
7286191,Maya Vargas,1,8,25111980,2,8008,12381,2021-02-23,2010-05-28
7353090,Melissa Andrade,2,8,8061974,2,8008,12331,2024-02-22,2016-02-22
7359470,Melissa Câmara,3,8,11051980,2,8008,12051,2014-02-28,2003-05-05
7638648,Noah Rios,5,8,4101995,1,8008,12331,2017-03-01,2003-03-24
7652713,Noah Teixeira,1,6,7051969,1,8008,12392,2020-09-08,2010-09-13
7711990,Olívia Leão,1,8,7041974,2,8008,12392,2022-10-31,2010-11-29
7753972,Otávio Araújo,2,8,22081974,1,8008,12381,2017-01-02,2011-02-14
7787842,Otto Cavalcante,1,8,17081979,1,8008,12331,2023-12-05,2006-02-13
7800193,Otto Pacheco,1,8,9071980,1,8008,12381,2023-08-14,2004-08-09
7823834,Paulo da Mota,2,8,1091978,1,8008,12051,2021-09-20,2015-09-21
7830102,Paulo Fernandes,2,8,15091979,1,8008,12381,2021-02-12,2000-04-10
7989397,Pietra da Mata,2,8,21031969,2,8008,12330,2022-03-16,2000-02-28
8087807,Rafael Pires,2,8,21061978,1,8008,3003,2020-04-07,2000-04-03
8177339,Ravi Lucca da Mota,1,8,9011992,1,8008,12051,2024-01-15,2014-10-20
8480223,Sarah Sousa,3,8,27011990,2,8008,12331,2020-02-03,2005-05-09
8548386,Sophie Farias,1,8,12091990,2,8008,12330,2024-01-10,2012-12-03
8551975,Sophie Freitas,8,8,13051989,2,8008,12381,2013-05-21,2017-08-14
8696241,Emanuel Sales,1,8,2101979,1,8008,12331,2023-08-08,2009-12-01
8728989,Gustavo da Cunha,2,8,30081984,1,8008,12381,2022-02-14,2015-01-05
8809471,Lucca Melo,2,8,18111977,1,8008,12381,2022-09-27,2003-09-29
8863420,Rael Brito,2,8,29061977,1,8008,12010,2022-02-10,2008-02-18
8872490,Ravi Lucca Aparecida,3,8,27041981,1,8008,12331,2023-04-24,2007-08-20
8987426,Bianca Novaes,1,8,16011977,2,8008,12392,2013-06-24,2013-05-13
9294969,Lorena Farias,1,8,11021979,2,8008,12392,2023-10-02,2018-01-08
9300757,Luara Araújo,2,8,28031979,2,8008,12051,2016-12-12,2010-02-22
9403853,Stella Aragão,1,8,31051981,2,8008,12331,2021-03-23,2010-09-13
9457104,Thales da Mota,1,8,7011986,1,8008,12330,2023-10-16,2011-03-28
9468679,Thales Marques,3,8,26031983,1,8008,12051,2020-10-20,2010-04-19
9639360,Valentim Dias,2,8,14021982,1,8008,12051,2017-03-01,2010-08-30
1159411,Ana Luiza Correia,2,8,4031985,2,8150,12331,2023-04-26,2012-07-02
1244236,Ana Vitória Mendonça,1,8,6031984,2,8150,12381,2023-08-18,2003-05-05
1356615,Anthony Pastor,2,8,11091967,1,8150,12381,2020-09-01,2007-10-01
1857001,Bento Mendes,3,8,2121969,1,8150,12083,2024-01-31,2020-12-30
2173136,Caio Silva,2,8,3031987,1,8150,12331,2022-12-20,2014-07-28
2204169,Caleb Moura,2,8,16021985,1,8150,12010,2023-07-20,1987-09-17
3295929,Pedro Lucas Ramos,2,8,11111977,1,8150,12010,2011-02-16,2007-11-26
3378317,Thiago Carvalho,2,8,21051981,1,8150,12381,2017-03-01,2009-12-01
3972186,Erick Dias,2,8,20041972,1,8150,12051,2023-03-20,2000-07-24
4280299,Gabrielly Vasconcelos,2,8,11071977,2,8150,12331,2016-12-05,2006-09-18
4454076,Heitor Cassiano,1,8,5021980,1,8150,12381,2023-12-18,1999-11-08
4468865,Helena Câmara,2,8,16021981,2,8150,12331,2017-01-11,2001-07-16
4488645,Helena Mendonça,1,8,17041986,2,8150,12381,2019-06-03,2012-07-09
5894205,Lorena Vargas,2,8,6111980,2,8150,12422,2016-11-10,2011-01-10
6628432,Maria Almeida,2,8,4111989,2,8150,12051,2012-05-11,2010-11-12
6805363,Maria Isis Rodrigues,3,8,16081999,2,8150,12010,2023-10-16,2010-09-20
6815484,Maria Julia Correia,1,8,13051981,2,8150,12381,2013-02-15,1987-06-12
7264029,Maya Duarte,2,8,17081987,2,8150,12331,2023-02-28,2002-01-14
7671742,Oliver Farias,1,8,26031973,1,8150,12331,2017-09-18,2000-05-29
7741447,Otávio Abreu,3,8,21121977,1,8150,4005,2016-12-30,2002-04-08
8245030,Ravy Teixeira,2,8,31051981,1,8150,12010,2019-11-25,2003-12-08
8435386,Sara Camargo,1,8,5051982,2,8150,12381,2023-01-02,2009-12-01
8841658,Pedro Lucas Rezende,2,8,19021979,1,8150,12010,2021-05-07,2024-03-05
9039731,Isabela da Rosa,8,8,13071984,2,8150,12381,2020-04-15,2000-04-24
9089180,Maria Clara Barros,2,8,29081980,2,8150,12060,2012-04-23,2010-07-26
9245929,Esther Silveira,1,8,15051983,2,8150,12380,2020-11-11,2009-12-01
9462498,Thales Farias,1,8,26081983,1,8150,12381,2017-02-06,2014-03-10
736643,Alice Cardoso,3,8,8031977,2,8537,12350,2023-08-15,2023-10-05
811937,Alícia Lima,2,8,3041984,2,8537,12331,2017-09-04,2007-03-05
860765,Amanda Lima,3,8,22091979,2,8537,12381,2024-01-29,2000-04-03
997312,Ana Julia Câmara,2,8,23041986,2,8537,12422,2023-09-04,2008-01-07
1052652,Ana Júlia Pinto,2,8,20031982,2,8537,12381,2014-11-13,2006-08-21
1070418,Ana Laura Farias,2,8,1041972,2,8537,4007,2017-01-09,2000-03-13
1137155,Ana Liz Moraes,3,8,8021979,2,8537,12331,2024-04-02,2008-02-11
1189020,Ana Pinto,2,8,30011985,2,8537,12331,2021-09-17,2015-10-19
1362626,Anthony Teixeira,3,8,17031980,1,8537,12051,2007-08-06,1993-07-09
1529913,Asafe da Cruz,1,8,15021979,1,8537,12381,2017-01-23,2009-12-01
1853823,Bento Fonseca,2,8,26021985,1,8537,12330,2010-08-10,1999-05-03
2297500,Carlos Eduardo Barros,3,8,28061980,1,8537,12331,2020-11-23,2003-01-27
2316965,Carlos Eduardo Rodrigues,2,8,26041980,1,8537,12330,2024-04-10,2008-05-16
2413960,Catarina Vasconcelos,1,8,1091981,2,8537,12381,2021-09-20,2000-04-24
2417923,Cauã da Cruz,2,8,1051965,1,8537,12331,2022-04-12,2007-11-05
2440906,Cauã Silva,1,8,18061986,1,8537,12331,2023-02-06,2004-10-25
2636517,Daniela Câmara,2,8,12061984,2,8537,12331,2023-08-21,2014-03-17
2662868,Danilo Abreu,1,8,7011977,1,8537,12331,2023-07-18,2010-09-27
2732222,Dante da Rosa,2,8,6071973,1,8537,12331,2024-02-09,2000-03-20
2845714,Davi Miguel Ramos,2,8,10011976,1,8537,998,2021-03-22,2001-10-22
2848030,Davi Miguel Vieira,1,8,3091981,1,8537,12381,2021-02-08,2002-04-15
3145545,Isaque Correia,1,8,23071960,1,8537,12381,2020-02-03,2003-12-15
3367976,Thales Vargas,1,8,11071988,1,8537,12331,2013-04-15,2001-05-07
3444646,Aylla Souza,2,8,18111978,2,8537,12010,2015-05-18,2011-04-25
3525758,Larissa das Neves,2,8,24111970,2,8537,12051,2017-11-22,2003-05-12
3673761,Eduarda Costa,2,8,10081979,2,8537,12010,2017-02-08,2009-12-01
3681375,Eduarda Pires,8,8,27021980,2,8537,12380,2021-03-23,2005-05-09
3700929,Eduardo Pastor,1,8,15041981,1,8537,12350,2023-07-25,2006-07-31
3720703,Elisa Moura,8,8,15051983,2,8537,12331,2018-10-01,2003-01-13
4171598,Fernando Fogaça,1,8,5091980,1,8537,12350,2021-10-05,2009-12-07
4190234,Francisco Marques,3,8,22091979,1,8537,12331,2023-08-14,2003-02-10
4212350,Gabriel Caldeira,1,8,8081971,1,8537,12381,2017-01-03,2005-03-28
4321046,Gael Henrique Araújo,3,8,24101985,1,8537,12331,2017-01-27,2015-06-15
4441361,Hadassa Borges,1,8,23051978,2,8537,12392,2024-01-31,2008-10-01
4530268,Hellena Siqueira,2,8,4101978,2,8537,12392,2014-05-20,2004-04-12
4538281,Heloisa Camargo,3,8,16101973,2,8537,12331,2012-10-22,2012-06-11
4549090,Heloisa da Paz,1,8,9021977,2,8537,12051,2022-03-28,2004-03-29
4723374,Isaac Brito,1,8,27081987,1,8537,12331,2014-07-21,2009-07-06
4876785,Isadora Cardoso,2,8,18061979,2,8537,12381,2023-08-17,2022-08-15
5012066,João Felipe Borges,2,8,11061983,1,8537,12051,2024-02-06,2000-07-10
5074681,João Guilherme Brito,1,8,13071983,1,8537,12381,2022-02-14,2008-08-04
5180552,João Pedro Teixeira,2,7,14031981,1,8537,12331,2023-11-13,2000-04-24
5295555,José Miguel Rodrigues,1,8,2082000,1,8537,12331,2008-09-05,2016-01-11
5351273,Juan Duarte,2,8,21011992,1,8537,12331,2023-01-30,2015-07-13
5585963,Larissa Guerra,1,8,7011993,2,8537,12051,2023-07-31,2011-04-04
5684344,Léo Araújo,8,8,25031971,1,8537,12392,2017-01-09,2007-10-15
5906771,Lorenzo Nunes,1,8,30121981,1,8537,12331,2022-12-07,2000-05-15
6017775,Lucas Casa Grande,2,8,3111988,1,8537,12331,2024-04-01,2001-05-21
6099029,Luigi Gomes,8,8,21111980,1,8537,12422,2024-04-01,2009-12-01
6244887,Luiz Henrique Freitas,2,8,1041975,1,8537,12010,2016-10-13,2004-03-29
6463849,Manuela Barros,1,8,26101989,2,8537,12350,2019-10-03,2014-03-17
6473795,Manuela Marques,1,8,2121983,2,8537,12350,2022-09-06,2015-11-16
6497558,Manuella Fonseca,8,8,10011979,2,8537,12330,2012-04-16,1993-03-24
6499562,Manuella Lopes,2,8,21091982,2,8537,12392,2023-09-29,2009-12-07
6505972,Manuella Mendonça,8,8,14061980,2,8537,12330,2024-05-17,1992-10-01
6553976,Marcelo Pacheco,1,8,3051990,1,8537,12331,2024-01-31,2009-12-01
6904409,Maria Luísa Barros,3,8,21091972,2,8537,12051,2010-07-07,2009-12-01
6970167,Maria Martins,2,8,26081980,2,8537,12050,2021-10-06,2002-08-05
6994443,Maria Sophia Farias,2,8,2091982,2,8537,12083,2019-02-05,2003-01-06
7031048,Mariah Nascimento,1,8,22081982,2,8537,12381,2024-01-17,2004-02-02
7068176,Mariane da Mata,2,8,23111985,2,8537,12051,2007-02-21,2005-05-30
7127365,Mateus Lima,2,8,5091984,1,8537,12051,2014-06-06,2010-08-02
7166263,Mathias Barros,2,8,9071977,1,8537,12331,2024-03-05,1993-03-16
7182351,Mathias Gonçalves,2,8,7011986,1,8537,12051,2014-03-24,2024-03-05
7233747,Matteo Santos,2,8,18031975,1,8537,12381,2022-01-31,2010-08-16
7236001,Matteo Siqueira,2,8,7091984,1,8537,12392,2020-11-23,2002-07-08
7376605,Melissa Mendonça,1,8,11081979,2,8537,12331,2024-02-06,2015-10-19
7557257,Nicole Campos,2,8,28011975,2,8537,12051,2023-01-23,2014-01-13
7562783,Nicole Melo,8,8,7031989,2,8537,12392,2008-01-09,2005-03-28
7874725,Pedro Henrique Cassiano,3,8,12071984,1,8537,12381,2016-12-12,2000-04-03
7886865,Pedro Henrique Gomes,3,8,21081983,1,8537,12051,2023-05-08,2010-08-30
7967007,Pietra Barbosa,8,8,29121978,2,8537,12381,2023-09-26,2009-12-01
8090778,Rafael Porto,2,8,27021981,1,8537,12381,2017-08-28,2008-09-22
8100404,Rafael Teixeira,2,8,28081982,1,8537,12381,2023-08-21,2012-08-06
8104327,Rafaela Pires,3,8,7031964,2,8537,12331,2016-11-10,2003-12-08
8108695,Raquel Albuquerque,2,8,3091977,2,8537,12381,2023-05-08,2000-03-13
8324507,Rodrigo Casa Grande,1,8,3051977,1,8537,12381,2023-07-14,2005-07-04
8344543,Ryan Novais,2,8,5051967,1,8537,12331,2021-02-18,2002-08-19
8518767,Sophia da Mota,2,8,22071983,2,8537,12331,2023-02-16,2004-08-16
8589322,Benicio Sales,1,8,23091982,1,8537,12350,2023-09-18,2000-03-27
8622665,Bryan da Cunha,3,8,19121983,1,8537,12392,2022-10-10,2002-04-01
8699404,Enrico Caldeira,1,8,14021982,1,8537,12350,2023-04-12,2003-03-31
9104834,Maria Julia Moura,8,8,9031971,2,8537,12392,2024-01-10,2000-03-13
9197114,Ana Carolina Santos,1,8,12101973,2,8537,12381,2010-11-16,2018-04-09
9561273,Theodoro Garcia,3,8,18021988,1,8537,12350,2024-02-01,2007-09-10
9697671,Vicente Moura,2,8,25021983,1,8537,12392,2020-03-11,2023-10-05
9779955,Vitor Hugo Macedo,2,8,9081977,1,8537,12381,2016-11-03,2001-11-19
674661,Agatha Nascimento,1,8,14071982,2,8550,12381,2024-01-03,2000-03-27
716439,Alexia Carvalho,1,8,28051977,2,8550,12381,2024-01-29,2000-07-24
761364,Alice Guerra,3,8,23121970,2,8550,12331,2020-08-25,2014-03-31
923605,Ana Carolina Fonseca,2,8,16021989,2,8550,12331,2022-10-10,2009-12-01
930936,Ana Cecília Caldeira,1,8,15081990,2,8550,12392,2013-07-22,1993-04-05
1099922,Ana Lívia Almeida,2,8,22091971,2,8550,12331,2021-04-05,2006-11-20
1142978,Ana Liz Pastor,3,8,13041977,2,8550,12381,2024-01-18,2013-07-15
1218295,Ana Sophia Guerra,2,8,8031977,2,8550,12392,2015-07-01,2005-03-07
1260171,Ana Vitória Vargas,3,8,9071985,2,8550,12381,2020-11-23,2009-12-01
1275438,André Duarte,1,8,29101983,1,8550,12392,2023-12-05,2010-10-18
1376851,Antonella da Rosa,2,8,5041983,2,8550,12051,2024-01-30,2008-07-28
1477434,Arthur Gabriel Souza,1,8,18121965,1,8550,12331,2022-12-14,1999-02-01
1483174,Arthur Macedo,2,8,25051976,1,8550,12381,2024-01-22,2002-01-07
1531130,Asafe Dias,2,8,16091974,1,8550,12051,2021-05-24,2001-11-26
1549831,Asafe Ramos,1,8,20091974,1,8550,12331,2021-10-08,2023-10-25
1588038,Augusto Siqueira,1,8,3091956,1,8550,12381,2023-08-03,2000-04-24
1714880,Bella da Mota,2,8,27031990,2,8550,12331,2022-12-20,2019-01-07
1894607,Bernardo Silva,2,8,13091983,1,8550,12331,2014-08-06,2011-01-17
2011182,Brenda Rodrigues,1,8,8111969,2,8550,12381,2015-07-01,2008-05-26
2029409,Breno Rocha,2,8,31101982,1,8550,12051,2019-08-14,2007-11-05
2029783,Breno Sampaio,8,8,3091983,1,8550,12331,2024-01-29,2008-02-18
2041668,Bruna Casa Grande,5,8,13021980,2,8550,12010,2022-11-16,2005-03-28
2063109,Bruno Camargo,2,8,10121965,1,8550,12381,2021-12-13,1999-02-01
2375943,Caroline da Paz,2,8,15121984,2,8550,12381,2024-06-03,2004-03-01
2483286,Cecília Cavalcante,2,8,9081985,2,8550,12331,2021-11-03,2015-08-31
2564912,Clarice da Paz,1,8,18121974,2,8550,12331,2022-10-04,1993-07-05
2629226,Daniel Silva,1,8,2041978,1,8550,12331,2019-08-29,1998-11-16
2695712,Danilo Melo,1,8,20031965,1,8550,12331,2022-10-18,1998-06-15
2706971,Danilo Rios,1,8,26051989,1,8550,12381,2024-02-01,2009-12-01
2756678,Davi Lucas Camargo,1,8,28121974,1,8550,12381,2007-11-26,2003-01-06
2783826,Davi Lucca Martins,1,8,9081980,1,8550,12331,2023-09-18,2000-03-20
2802530,Davi Luiz Pereira,3,8,5051986,1,8550,12331,2020-01-28,2008-07-21
2829704,Davi Miguel Cunha,2,8,22091981,1,8550,12381,2023-08-07,1988-01-11
2938350,Dom Rios,2,8,10051984,1,8550,12331,2019-01-07,2009-12-01
3064106,Cauê Pacheco,2,8,24071969,1,8550,12392,2015-08-19,2003-07-07
3381727,Thiago Vasconcelos,2,8,13091988,1,8550,12060,2007-05-14,1982-12-31
3512620,Isis Farias,2,8,24061980,2,8550,12331,2018-12-03,2005-02-14
3513273,Joana Gonçalves,2,8,8061982,2,8550,12331,2014-04-28,2001-05-28
3543904,Luana Teixeira,2,8,3091984,2,8550,12331,2018-12-03,2022-06-20
3610940,Mariah Moraes,2,8,3101985,2,8550,12392,2012-06-04,2008-03-10
3682613,Eduarda Pires,2,8,30091996,2,8550,12381,2017-01-04,1998-07-06
3697044,Eduardo Dias,2,8,9071981,1,8550,12331,2017-11-16,2005-05-09
3702999,Eduardo Sá,3,8,17071985,1,8550,12381,2011-01-10,2008-07-28
3825929,Emanuelly da Rocha,2,8,10121987,2,8550,12051,2024-01-31,2023-10-05
3842599,Emanuelly Souza,2,8,25021974,2,8550,12381,2014-02-28,2002-08-19
3887968,Enrico Dias,2,8,27081984,1,8550,12051,2023-02-15,1998-07-13
4086530,Evelyn Sales,1,8,19041989,2,8550,12381,2021-02-22,2004-06-14
4134588,Fernanda Duarte,8,8,11051981,2,8550,12381,2023-02-22,2002-10-07
4196736,Francisco Pastor,3,8,7061967,1,8550,12331,2019-07-01,2004-05-17
4200863,Gabriel Azevedo,1,8,4061989,1,8550,12381,2018-03-22,1987-09-24
4221562,Gabriel Macedo,2,8,9101984,1,8550,12331,2021-02-12,2009-12-01
4244180,Gabriela Azevedo,1,8,13021987,2,8550,12331,2023-03-01,2010-09-13
4428192,Gustavo Henrique Araújo,1,8,27021986,1,8550,12330,2017-02-13,2012-07-02
4441063,Hadassa Almeida,1,8,1021981,2,8550,12331,2023-12-11,2000-04-24
4556687,Heloísa Moura,2,8,10101982,2,8550,12331,2021-03-29,2011-01-10
4644063,Henry Gabriel Pastor,8,8,8031967,1,8550,12392,2017-02-01,2008-04-11
4728708,Isaac Nascimento,2,8,17071970,1,8550,12381,2021-02-22,2004-08-09
4876585,Isadora Câmara,2,8,12091986,2,8550,12381,2021-03-24,2003-05-05
4912345,Isaque Machado,3,8,21041980,1,8550,12331,2024-02-09,2003-05-05
4921526,Isaque Sales,2,8,18111983,1,8550,12381,2017-02-22,2000-05-08
4926040,Isaque Vargas,2,8,20021976,1,8550,12331,2017-02-22,2011-05-23
4994077,João Brito,2,8,17081995,1,8550,12331,2014-08-25,2004-09-13
5024801,João Felipe Machado,2,8,2041988,1,8550,12392,2019-01-07,2010-08-16
5059114,João Gabriel Lima,1,8,25071979,1,8550,12381,2022-05-09,2012-07-09
5062021,João Gabriel Nogueira,1,8,29101982,1,8550,12331,2018-12-07,2001-12-03
5100413,João Lucas Albuquerque,2,8,10031986,1,8550,12392,2013-06-11,2002-05-06
5161756,João Pedro da Luz,3,8,18081997,1,8550,12331,2018-07-02,2013-10-21
5195649,João Vitor Cunha,2,8,10061990,1,8550,12331,2017-02-08,2009-12-07
5237591,Joaquim Sá,2,8,10021984,1,8550,12392,2019-09-18,2024-03-05
5279318,José Miguel Campos,8,8,30121981,1,8550,12051,2023-03-13,2004-07-19
5303289,José Pedro Cardoso,2,8,4101995,1,8550,12331,2020-11-11,2011-06-27
5309622,José Pedro Costela,2,8,22031988,1,8550,12381,2024-03-05,2014-12-12
5331883,José Silva,2,8,9071967,1,8550,12051,2022-04-25,2003-10-06
5358242,Juan Farias,2,8,21101980,1,8550,12051,2020-11-20,2010-05-31
5369502,Juan Vasconcelos,3,8,4091980,1,8550,12331,2021-04-22,2000-05-08
5399737,Júlia Machado,1,8,24111971,2,8550,12392,2017-09-11,2004-09-13
5520261,Kelly Sampaio,3,8,29051979,2,8550,12330,2011-07-26,2012-05-21
5600019,Laura Barbosa,2,8,27031986,2,8550,12331,2023-03-23,2010-05-17
5620546,Laura Siqueira,2,8,14091977,2,8550,12331,2020-09-08,2012-10-22
5669015,Leandro da Cruz,3,8,21101981,1,8550,12051,2017-01-02,2016-01-25
5684610,Léo Carvalho,3,8,29121987,1,8550,12392,2018-04-13,2005-07-25
5796668,Liam Andrade,2,8,8052001,1,8550,12051,2022-02-15,2000-05-15
5797115,Liam Cardoso,1,8,30091967,1,8550,12331,2022-11-14,2001-04-02
5893740,Lorena Rocha,2,8,25071986,2,8550,12381,2002-04-01,2000-08-14
6071571,Lucca Barbosa,3,8,28031978,1,8550,12331,2024-02-01,2009-12-01
6173310,Luiz Felipe Dias,3,8,13031969,1,8550,12381,2023-07-13,2003-05-05
6915615,Maria Luísa Lopes,1,8,2051981,2,8550,12051,2024-03-05,2007-10-01
6989224,Maria Sophia Cavalcanti,2,8,28081980,2,8550,12380,2023-10-05,2008-09-22
7075762,Mariane Gomes,1,8,8051979,2,8550,12392,2024-02-16,2011-04-25
7157737,Matheus Pereira,2,8,20051982,1,8550,12331,2024-01-31,2009-12-01
7249032,Maya Castro,1,8,17111980,2,8550,12381,2023-10-23,1999-02-01
7318587,Melina Aragão,8,8,30071981,2,8550,12381,2022-05-23,2000-02-28
