matricula,Nome,local de trabalho,Data de Ingresso,Curso,Área de Conhecimento,Data de Conclusão,Instituição
236672,Marcela da Conceição,8150,2019-12-27,Ciência Política,Ciências Humanas,2014-10-10,UNICRUZ - Universidade de Cruz Alta
236673,Sra. Júlia da Luz,8150,2016-08-25,Probabilidade e Estatística,Ciências Exatas e da Terra,2010-04-16,UNIEURO - Centro Universitário Euroamericano
236674,Agatha Oliveira,8150,2014-12-25,Desenho Industrial,Ciências Sociais Aplicadas,2014-07-27,FACEG - Faculdade Evangelica de Goianesia
236675,Camila da Cunha,8150,2016-04-25,Ciência e Tecnologia de Alimentos,Ciências Agrárias,2015-11-12,DOCTUM - Rede de Ensino Doctum
236676,Sra. Ana Júlia Moreira,8150,2022-12-28,Letras,"Lingüística, Letras e Artes",2009-08-08,Univel - União Educacional de Cascavel
236677,Calebe Barbosa,8150,2017-04-20,Nutrição,Ciências da Saúde,2015-10-06,SENAC - Centro Universitário Senac
236678,Dr. Thales Sales,8150,2018-03-24,Parasitologia,Ciências Biológicas,2011-08-31,UNIP - Universidade Paulista
236679,Pedro Lucas Dias,8150,2019-06-15,Artes,"Lingüística, Letras e Artes",2010-01-18,FAP - Faculdade Arquidiocesana de Pirapora
236680,João Guilherme Azevedo,8150,2020-06-17,Imunologia,Ciências Biológicas,2019-02-10,IFSUDESTEMG - Instituto Federal do Sudeste de Minas
236681,Sra. Olivia Melo,8150,2022-09-15,Desenho Industrial,Ciências Sociais Aplicadas,2013-01-17,UFC - Universidade Federal do Ceará
236682,Brenda Rocha,8150,2017-11-11,Engenharia Química,Engenharias,2013-10-23,UniABC - Universidade do Grande ABC
236683,Juan Lopes,8150,2016-11-26,Fisioterapia e Terapia Ocupacional,Ciências da Saúde,2011-09-05,FASBAM - Faculdade São Basílio Magno
236684,Bernardo Fernandes,8150,2022-06-16,Teologia,Ciências Humanas,2016-02-23,UNINGÁ - Faculdade Ingá
236685,Isadora Dias,8537,2023-11-27,Medicina Veterinária,Ciências Agrárias,2014-05-31,UNIFAMETRO - Centro Universitário Fametro
236686,Luiz Miguel Pinto,8537,2023-08-11,Zoologia,Ciências Biológicas,2020-02-18,FAJANSSEN - Faculdade Arnaldo Jessen
236687,Luiz Henrique da Conceição,8537,2018-03-04,Demografia,Ciências Sociais Aplicadas,2014-03-31,ULBRA - Universidade Luterana do Brasil (Polo Natal)
236688,Luiz Otávio da Costa,8537,2015-05-05,Fonoaudiologia,Ciências da Saúde,2013-11-28,UNIGRANRIO - Universidade do Grande Rio
236689,Brenda Rocha,8537,2023-03-03,Engenharia Naval e Oceânica,Engenharias,2015-08-26,UCP - Universidade Católica de Petrópolis
236690,Dr. Igor Campos,8537,2015-09-21,Antropologia,Ciências Humanas,2010-08-17,UNILA - Universidade Federal da Integração Latino-Americana
236691,Eduardo Araújo,8537,2016-06-09,Direito,Ciências Sociais Aplicadas,2015-07-30,UNIFOR - Universidade de Fortaleza
236692,Gabrielly Farias,8537,2016-01-03,Educação Física,Ciências da Saúde,2011-02-27,UNICHRISTUS - Centro Universitário Christus
236693,João Felipe Teixeira,8537,2020-05-08,Zootecnia,Ciências Agrárias,2017-06-04,AEDB - Faculdades Dom Bosco
236694,Rebeca Barbosa,8537,2016-05-12,Fisiologia,Ciências Biológicas,2014-02-14,FIO - Faculdades Integradas de Ourinhos
236695,Ana Sophia da Costa,8537,2016-07-25,Farmácia,Ciências da Saúde,2016-02-23,IFSULDEMINAS - Instituto Federal do Sul de Minas
236696,Yago Jesus,8537,2019-04-20,Engenharia Agrícola,Ciências Agrárias,2014-03-12,UFV - Universidade Federal de Viçosa
236697,Davi Lucas Castro,8537,2020-02-05,Engenharia Mecânica,Engenharias,2013-06-05,UFSC - Universidade Federal de Santa Catarina
236698,Sr. Bernardo Sales,8537,2021-03-15,Comunicação,Ciências Sociais Aplicadas,2016-05-15,UFN - Universidade Franciscana
236699,Pedro Miguel da Rosa,8537,2023-05-28,Engenharia Química,Engenharias,2017-07-12,UEPA - Universidade do Estado do Pará
236700,Luiz Gustavo Porto,8537,2024-01-09,Engenharia Biomédica,Engenharias,2020-01-14,UNCIASAL - Universidade Estadual de Ciências da Saúde de Alagoas
236701,Ana Clara Ferreira,8537,2015-06-03,Probabilidade e Estatística,Ciências Exatas e da Terra,2010-07-18,UNICAMP - Universidade Estadual de Campinas
236702,Gustavo Henrique Ferreira,8537,2018-07-20,Museologia,Ciências Sociais Aplicadas,2012-06-16,UNIP - Universidade Paulista
236703,Larissa Martins,8537,2021-02-28,Odontologia,Ciências da Saúde,2016-04-26,UNOCHAPECÓ - Universidade Comunitária Regional de Chapecó
236704,Breno da Costa,8537,2023-06-13,Oceanografia,Ciências Exatas e da Terra,2017-05-11,CEULP/ULBRA - Centro Universitário Luterano de Palmas
236705,Sr. Yuri Oliveira,8537,2016-06-05,Artes,"Lingüística, Letras e Artes",2010-03-06,UNESA - Universidade Estácio de Sá
236706,Enzo Gabriel Lima,8537,2016-05-26,Direito,Ciências Sociais Aplicadas,2012-01-22,UNICAMPO - Faculdade União de Campo Mourão
236707,Gustavo Gonçalves,8537,2023-08-25,Educação Física,Ciências da Saúde,2014-04-10,IFC - Instituto Federal Catarinense
236708,Davi Luiz Sales,8537,2018-05-04,Oceanografia,Ciências Exatas e da Terra,2010-06-06,UENP - Universidade Estadual do Norte do Paraná
236709,Emanuelly da Cruz,8537,2023-01-17,Educação,Ciências Humanas,2022-05-24,UNIFACISA - Centro Universitário Facisa
236710,Carlos Eduardo Moraes,8537,2016-12-11,Química,Ciências Exatas e da Terra,2016-10-27,FCC - Faculdade Católica do Ceará
236711,Bruna da Cruz,8537,2015-01-02,Direito,Ciências Sociais Aplicadas,2014-01-02,URI - Universidade Regional Integrada do Alto Uruguai e das Missões
236712,Giovanna Novaes,8537,2021-02-07,Engenharia de Transportes,Engenharias,2020-05-15,UNISUAM - Centro Universitário Augusto Motta
236713,Raul Moura,8537,2021-10-24,História,Ciências Humanas,2014-04-24,IFPI - Instituto Federal do Piauí
236714,Diogo Silva,8537,2022-05-04,Morfologia,Ciências Biológicas,2016-11-16,ULBRA - Universidade Luterana do Brasil (Polo Natal)
236715,Olivia Gomes,8537,2015-06-27,Educação Física,Ciências da Saúde,2013-04-12,FEAPA - Faculdade de Estudos Avançados do Pará
236716,Gabrielly Costela,8537,2018-05-22,Biologia Geral,Ciências Biológicas,2010-05-17,PUCMG - Pontifícia Universidade Católica de Minas Gerais
236717,Eduarda Gomes,8537,2019-05-24,Desenho Industrial,Ciências Sociais Aplicadas,2017-12-16,UNICAMP - Universidade Estadual de Campinas
236718,Sra. Clara da Paz,8537,2021-02-20,Engenharia Biomédica,Engenharias,2010-01-01,UNINASSAU - Faculdade Maurício de Nassau - (Pólo Natal)
236719,Henrique Cardoso,8537,2015-02-15,Arquitetura e Urbanismo,Ciências Sociais Aplicadas,2013-01-19,IEMA - Instituto Estadual do Maranhão
236720,Emanuelly Silva,8537,2015-12-24,Educação Física,Ciências da Saúde,2010-03-05,UFS - Universidade Federal de Sergipe
236721,Yuri Mendes,8537,2018-09-17,Engenharia Agrícola,Ciências Agrárias,2013-03-25,IPTAN - Instituto de Ensino Superior Presidente Tancredo Neves
236722,Ryan da Conceição,8537,2019-05-06,Biofísica,Ciências Biológicas,2009-09-22,FACAMP - Faculdades de Campinas
236723,Luana Fogaça,8537,2022-02-18,Planejamento Urbano e Regional,Ciências Sociais Aplicadas,2018-04-30,UNISO - Universidade de Sorocaba
236724,Theo Nogueira,8537,2021-06-21,Museologia,Ciências Sociais Aplicadas,2012-06-19,UFJF - Universidade Federal de Juiz de Fora
236725,Davi Lucca da Costa,8537,2015-12-22,GeoCiências,Ciências Exatas e da Terra,2014-08-16,UFMS - Universidade Federal do Mato Grosso do Sul
236726,João Lucas Freitas,8537,2018-08-29,Farmácia,Ciências da Saúde,2016-05-24,PUC-RIO - Pontifícia Universidade Católica do Rio de Janeiro
236727,Dra. Giovanna Pereira,8537,2017-05-14,Recursos Florestais e Engenharia Florestal,Ciências Agrárias,2014-02-18,UFJF - Universidade Federal de Juiz de Fora
236728,Dra. Sophia Silveira,8537,2023-04-27,Engenharia Biomédica,Engenharias,2010-04-18,DOCTUM - Rede de Ensino Doctum
236729,Isis Rezende,8537,2020-03-04,Odontologia,Ciências da Saúde,2009-09-08,IFNMG - Instituto Federal do Norte de Minas Gerais
236730,Stephany Barbosa,8537,2016-01-09,Psicologia,Ciências Humanas,2013-06-05,FIO - Faculdades Integradas de Ourinhos
236731,Ana Clara Costa,8537,2019-04-27,Medicina Veterinária,Ciências Agrárias,2018-12-19,Unip - Universidade Paulista
236732,Lucas Gabriel Costa,8537,2021-10-05,Fisioterapia e Terapia Ocupacional,Ciências da Saúde,2016-10-04,IMESA - Instituto Municipal de Ensino Superior de Assis
236733,Caroline Rodrigues,8537,2020-06-23,Engenharia Civil,Engenharias,2015-10-29,FEI - Centro Universitário FEI
236734,Leandro Moraes,8537,2014-08-04,Farmacologia,Ciências Biológicas,2011-03-11,UNIFSL - Centro Universitário São Lucas de Porto Velho
236735,Enzo Nogueira,8537,2019-08-02,Zootecnia,Ciências Agrárias,2014-10-11,FAPAN - Faculdade Pan Amazônica
236736,Maria Clara Martins,8537,2020-01-23,Economia Doméstica,Ciências Sociais Aplicadas,2012-02-19,FACIMP - Faculdade de Imperatriz
236737,Francisco Nunes,8537,2021-10-15,História,Ciências Humanas,2014-12-15,FAPAN - Faculdade Pan Amazônica
236738,Laís Peixoto,8537,2019-12-30,Biofísica,Ciências Biológicas,2010-07-04,UNIFIEO - Centro Universitário FIEO
236739,Srta. Mirella Pinto,8537,2020-05-01,Direito,Ciências Sociais Aplicadas,2012-08-24,AEDB - Faculdades Dom Bosco
236740,Otávio Ribeiro,8537,2015-12-25,Odontologia,Ciências da Saúde,2009-08-28,UFRGS - Universidade Federal do Rio Grande do Sul
236741,Luigi Freitas,8537,2016-06-15,Engenharia Química,Engenharias,2014-10-30,UEMA - Universidade Estadual do Maranhão
236742,Pedro da Conceição,8537,2018-06-22,Museologia,Ciências Sociais Aplicadas,2011-03-04,AEDB - Faculdades Dom Bosco
236743,Thales Dias,8537,2018-06-06,Ciência da Informação,Ciências Sociais Aplicadas,2009-10-01,UNIP - Universidade Paulista
236744,Evelyn da Rosa,8537,2021-11-26,Engenharia de Produção,Engenharias,2010-11-15,FACCAMP - Faculdade de Campo Limpo Paulista
