cd_func;nm_func;dt_ingso;area_cmnto;dt_conc;cd_uor;nm_uor_rdz
F236652;Mariane Lopes;2014-11-26;Ciências Biológicas;2014-06-02;55825;DIREC-CLI. VAR. PF
F236653;Kaique Jesus;2021-11-03;Engenharias;2018-01-04;55825;DIREC-CLI. VAR. PF
F236654;Maria Cecília Ramos;2021-09-04;Ciências Exatas e da Terra;2011-11-07;55825;DIREC-CLI. VAR. PF
F236655;Cecília da Cunha;2019-03-02;Ciências Biológicas;2012-05-11;55825;DIREC-CLI. VAR. PF
F236656;Levi Melo;2021-12-27;Ciências Exatas e da Terra;2017-01-26;55825;DIREC-CLI. VAR. PF
F236657;Sra. Gabriela Teixeira;2018-01-01;Ciências da Saúde;2014-11-30;55825;DIREC-CLI. VAR. PF
F236658;Nicolas Mendes;2016-03-10;Engenharias;2013-04-24;32450;AUDITORIA INTERNA
F236659;Helena Freitas;2017-10-22;Engenharias;2015-09-23;32450;AUDITORIA INTERNA
F236660;Maysa Sales;2023-03-18;Ciências Humanas;2016-04-01;32450;AUDITORIA INTERNA
F236661;Sabrina Cunha;2019-05-04;Ciências Agrárias;2016-12-05;32450;AUDITORIA INTERNA
F236662;Camila da Rocha;2023-12-26;Ciências Humanas;2018-03-21;32450;AUDITORIA INTERNA
F236663;Carlos Eduardo Barros;2015-11-10;Lingüística, Letras e Artes;2011-02-26;32450;AUDITORIA INTERNA
F236664;Luiz Gustavo Viana;2015-01-14;Ciências Sociais Aplicadas;2011-09-14;32450;AUDITORIA INTERNA
F236665;Lorenzo Novaes;2016-06-09;Ciências Exatas e da Terra;2015-10-19;32450;AUDITORIA INTERNA
F236666;Erick Martins;2021-10-29;Engenharias;2021-02-02;32450;AUDITORIA INTERNA
F236667;Lucas Gabriel Silva;2019-09-30;Ciências Agrárias;2015-03-24;32450;AUDITORIA INTERNA
F236668;Isaac Rezende;2019-06-12;Lingüística, Letras e Artes;2010-05-01;32450;AUDITORIA INTERNA
F236669;Mariane Correia;2022-07-05;Engenharias;2011-07-27;32450;AUDITORIA INTERNA
F236670;Sophie Santos;2019-06-30;Lingüística, Letras e Artes;2012-12-12;32450;AUDITORIA INTERNA
F236671;Giovanna da Mata;2020-09-12;Ciências Humanas;2015-07-16;32450;AUDITORIA INTERNA
F236672;Marcela da Conceição;2019-12-27;Ciências Humanas;2014-10-10;32450;AUDITORIA INTERNA
F236673;Sra. Júlia da Luz;2016-08-25;Ciências Exatas e da Terra;2010-04-16;32450;AUDITORIA INTERNA
F236674;Agatha Oliveira;2014-12-25;Ciências Sociais Aplicadas;2014-07-27;32450;AUDITORIA INTERNA
F236675;Camila da Cunha;2016-04-25;Ciências Agrárias;2015-11-12;32450;AUDITORIA INTERNA
F236676;Sra. Ana Júlia Moreira;2022-12-28;Lingüística, Letras e Artes;2009-08-08;32450;AUDITORIA INTERNA
F236677;Calebe Barbosa;2017-04-20;Ciências da Saúde;2015-10-06;32450;AUDITORIA INTERNA
F236678;Dr. Thales Sales;2018-03-24;Ciências Biológicas;2011-08-31;32450;AUDITORIA INTERNA
F236679;Pedro Lucas Dias;2019-06-15;Lingüística, Letras e Artes;2010-01-18;32450;AUDITORIA INTERNA
F236680;João Guilherme Azevedo;2020-06-17;Ciências Biológicas;2019-02-10;32450;AUDITORIA INTERNA
F236681;Sra. Olivia Melo;2022-09-15;Ciências Sociais Aplicadas;2013-01-17;32450;AUDITORIA INTERNA
F236682;Brenda Rocha;2017-11-11;Engenharias;2013-10-23;32450;AUDITORIA INTERNA
F236683;Juan Lopes;2016-11-26;Ciências da Saúde;2011-09-05;32450;AUDITORIA INTERNA
F236684;Bernardo Fernandes;2022-06-16;Ciências Humanas;2016-02-23;32450;AUDITORIA INTERNA
F236685;Isadora Dias;2023-11-27;Ciências Agrárias;2014-05-31;33315;SECEX-SEC EXECUTIVA
F236686;Luiz Miguel Pinto;2023-08-11;Ciências Biológicas;2020-02-18;33315;SECEX-SEC EXECUTIVA
F236687;Luiz Henrique da Conceição;2018-03-04;Ciências Sociais Aplicadas;2014-03-31;33315;SECEX-SEC EXECUTIVA
F236688;Luiz Otávio da Costa;2015-05-05;Ciências da Saúde;2013-11-28;33315;SECEX-SEC EXECUTIVA
F236689;Brenda Rocha;2023-03-03;Engenharias;2015-08-26;33315;SECEX-SEC EXECUTIVA
F236690;Dr. Igor Campos;2015-09-21;Ciências Humanas;2010-08-17;33315;SECEX-SEC EXECUTIVA
F236691;Eduardo Araújo;2016-06-09;Ciências Sociais Aplicadas;2015-07-30;33315;SECEX-SEC EXECUTIVA
F236692;Gabrielly Farias;2016-01-03;Ciências da Saúde;2011-02-27;33315;SECEX-SEC EXECUTIVA
F236693;João Felipe Teixeira;2020-05-08;Ciências Agrárias;2017-06-04;33315;SECEX-SEC EXECUTIVA
F236694;Rebeca Barbosa;2016-05-12;Ciências Biológicas;2014-02-14;33315;SECEX-SEC EXECUTIVA
F236695;Ana Sophia da Costa;2016-07-25;Ciências da Saúde;2016-02-23;33315;SECEX-SEC EXECUTIVA
F236696;Yago Jesus;2019-04-20;Ciências Agrárias;2014-03-12;33315;SECEX-SEC EXECUTIVA
F236697;Davi Lucas Castro;2020-02-05;Engenharias;2013-06-05;33315;SECEX-SEC EXECUTIVA
F236698;Sr. Bernardo Sales;2021-03-15;Ciências Sociais Aplicadas;2016-05-15;33315;SECEX-SEC EXECUTIVA
F236699;Pedro Miguel da Rosa;2023-05-28;Engenharias;2017-07-12;33315;SECEX-SEC EXECUTIVA
F236700;Luiz Gustavo Porto;2024-01-09;Engenharias;2020-01-14;33315;SECEX-SEC EXECUTIVA
F236701;Ana Clara Ferreira;2015-06-03;Ciências Exatas e da Terra;2010-07-18;33315;SECEX-SEC EXECUTIVA
F236702;Gustavo Henrique Ferreira;2018-07-20;Ciências Sociais Aplicadas;2012-06-16;33315;SECEX-SEC EXECUTIVA
F236703;Larissa Martins;2021-02-28;Ciências da Saúde;2016-04-26;33315;SECEX-SEC EXECUTIVA
F236704;Breno da Costa;2023-06-13;Ciências Exatas e da Terra;2017-05-11;33315;SECEX-SEC EXECUTIVA
F236705;Sr. Yuri Oliveira;2016-06-05;Lingüística, Letras e Artes;2010-03-06;33315;SECEX-SEC EXECUTIVA
F236706;Enzo Gabriel Lima;2016-05-26;Ciências Sociais Aplicadas;2012-01-22;33315;SECEX-SEC EXECUTIVA
F236707;Gustavo Gonçalves;2023-08-25;Ciências da Saúde;2014-04-10;33315;SECEX-SEC EXECUTIVA
F236708;Davi Luiz Sales;2018-05-04;Ciências Exatas e da Terra;2010-06-06;33315;SECEX-SEC EXECUTIVA
F236709;Emanuelly da Cruz;2023-01-17;Ciências Humanas;2022-05-24;33315;SECEX-SEC EXECUTIVA
F236710;Carlos Eduardo Moraes;2016-12-11;Ciências Exatas e da Terra;2016-10-27;33315;SECEX-SEC EXECUTIVA
F236711;Bruna da Cruz;2015-01-02;Ciências Sociais Aplicadas;2014-01-02;33315;SECEX-SEC EXECUTIVA
F236712;Giovanna Novaes;2021-02-07;Engenharias;2020-05-15;33315;SECEX-SEC EXECUTIVA
F236713;Raul Moura;2021-10-24;Ciências Humanas;2014-04-24;33315;SECEX-SEC EXECUTIVA
F236714;Diogo Silva;2022-05-04;Ciências Biológicas;2016-11-16;33315;SECEX-SEC EXECUTIVA
F236715;Olivia Gomes;2015-06-27;Ciências da Saúde;2013-04-12;33315;SECEX-SEC EXECUTIVA
F236716;Gabrielly Costela;2018-05-22;Ciências Biológicas;2010-05-17;33315;SECEX-SEC EXECUTIVA
F236717;Eduarda Gomes;2019-05-24;Ciências Sociais Aplicadas;2017-12-16;33315;SECEX-SEC EXECUTIVA
F236718;Sra. Clara da Paz;2021-02-20;Engenharias;2010-01-01;33315;SECEX-SEC EXECUTIVA
F236719;Henrique Cardoso;2015-02-15;Ciências Sociais Aplicadas;2013-01-19;33315;SECEX-SEC EXECUTIVA
F236720;Emanuelly Silva;2015-12-24;Ciências da Saúde;2010-03-05;33315;SECEX-SEC EXECUTIVA
F236721;Yuri Mendes;2018-09-17;Ciências Agrárias;2013-03-25;33315;SECEX-SEC EXECUTIVA
F236722;Ryan da Conceição;2019-05-06;Ciências Biológicas;2009-09-22;33315;SECEX-SEC EXECUTIVA
F236723;Luana Fogaça;2022-02-18;Ciências Sociais Aplicadas;2018-04-30;33315;SECEX-SEC EXECUTIVA
F236724;Theo Nogueira;2021-06-21;Ciências Sociais Aplicadas;2012-06-19;33315;SECEX-SEC EXECUTIVA
F236725;Davi Lucca da Costa;2015-12-22;Ciências Exatas e da Terra;2014-08-16;33315;SECEX-SEC EXECUTIVA
F236726;João Lucas Freitas;2018-08-29;Ciências da Saúde;2016-05-24;33315;SECEX-SEC EXECUTIVA
F236727;Dra. Giovanna Pereira;2017-05-14;Ciências Agrárias;2014-02-18;33315;SECEX-SEC EXECUTIVA
F236728;Dra. Sophia Silveira;2023-04-27;Engenharias;2010-04-18;33315;SECEX-SEC EXECUTIVA
F236729;Isis Rezende;2020-03-04;Ciências da Saúde;2009-09-08;33315;SECEX-SEC EXECUTIVA
F236730;Stephany Barbosa;2016-01-09;Ciências Humanas;2013-06-05;33315;SECEX-SEC EXECUTIVA
F236731;Ana Clara Costa;2019-04-27;Ciências Agrárias;2018-12-19;33315;SECEX-SEC EXECUTIVA
F236732;Lucas Gabriel Costa;2021-10-05;Ciências da Saúde;2016-10-04;33315;SECEX-SEC EXECUTIVA
F236733;Caroline Rodrigues;2020-06-23;Engenharias;2015-10-29;33315;SECEX-SEC EXECUTIVA
F236734;Leandro Moraes;2014-08-04;Ciências Biológicas;2011-03-11;33315;SECEX-SEC EXECUTIVA
F236735;Enzo Nogueira;2019-08-02;Ciências Agrárias;2014-10-11;33315;SECEX-SEC EXECUTIVA
F236736;Maria Clara Martins;2020-01-23;Ciências Sociais Aplicadas;2012-02-19;33315;SECEX-SEC EXECUTIVA
F236737;Francisco Nunes;2021-10-15;Ciências Humanas;2014-12-15;33315;SECEX-SEC EXECUTIVA
F236738;Laís Peixoto;2019-12-30;Ciências Biológicas;2010-07-04;33315;SECEX-SEC EXECUTIVA
F236739;Srta. Mirella Pinto;2020-05-01;Ciências Sociais Aplicadas;2012-08-24;33315;SECEX-SEC EXECUTIVA
F236740;Otávio Ribeiro;2015-12-25;Ciências da Saúde;2009-08-28;33315;SECEX-SEC EXECUTIVA
F236741;Luigi Freitas;2016-06-15;Engenharias;2014-10-30;33315;SECEX-SEC EXECUTIVA
F236742;Pedro da Conceição;2018-06-22;Ciências Sociais Aplicadas;2011-03-04;33315;SECEX-SEC EXECUTIVA
F236743;Thales Dias;2018-06-06;Ciências Sociais Aplicadas;2009-10-01;33315;SECEX-SEC EXECUTIVA
F236744;Evelyn da Rosa;2021-11-26;Engenharias;2010-11-15;33315;SECEX-SEC EXECUTIVA
F236745;Luiz Gustavo Fogaça;2023-04-11;Ciências Biológicas;2021-05-24;33315;SECEX-SEC EXECUTIVA
F236746;Bruno Jesus;2014-10-01;Lingüística, Letras e Artes;2012-09-13;33315;SECEX-SEC EXECUTIVA
F236747;Luiz Miguel das Neves;2021-09-01;Ciências Humanas;2011-11-21;33315;SECEX-SEC EXECUTIVA
F236748;Lívia Rocha;2018-08-28;Engenharias;2011-07-30;33315;SECEX-SEC EXECUTIVA
F236749;Gabriela Araújo;2022-01-17;Ciências Sociais Aplicadas;2015-07-09;33315;SECEX-SEC EXECUTIVA
F236750;Lucca Almeida;2019-02-27;Ciências Humanas;2010-08-24;33315;SECEX-SEC EXECUTIVA
F236751;Dr. Joaquim Farias;2014-09-22;Ciências Sociais Aplicadas;2012-02-29;33315;SECEX-SEC EXECUTIVA
F236752;Eduarda Carvalho;2016-02-14;Ciências Sociais Aplicadas;2013-12-23;33315;SECEX-SEC EXECUTIVA
F236753;Sra. Alice Vieira;2020-06-01;Ciências Humanas;2010-03-08;33315;SECEX-SEC EXECUTIVA
F236754;Caroline Barros;2016-06-23;Ciências da Saúde;2010-11-20;33315;SECEX-SEC EXECUTIVA
F236755;Ana Aragão;2020-02-20;Engenharias;2014-11-04;33315;SECEX-SEC EXECUTIVA
F236756;Juliana Moreira;2022-01-14;Ciências da Saúde;2016-04-14;33315;SECEX-SEC EXECUTIVA
F236757;Elisa da Mata;2020-06-26;Engenharias;2018-08-16;33315;SECEX-SEC EXECUTIVA
F236758;Helena Costela;2018-10-08;Engenharias;2016-11-05;33315;SECEX-SEC EXECUTIVA
F236759;Gabrielly Porto;2014-10-30;Ciências da Saúde;2009-09-06;33315;SECEX-SEC EXECUTIVA
F236760;Raquel Correia;2022-07-22;Ciências Biológicas;2009-08-08;33315;SECEX-SEC EXECUTIVA
F236761;Ana Luiza Almeida;2014-08-26;Ciências Biológicas;2012-10-03;33315;SECEX-SEC EXECUTIVA
F236762;Pedro Henrique da Mata;2023-07-31;Ciências Sociais Aplicadas;2013-02-11;33315;SECEX-SEC EXECUTIVA
F236763;Maria Sophia da Costa;2015-05-07;Engenharias;2014-01-01;33315;SECEX-SEC EXECUTIVA
F236764;Dr. Luigi da Conceição;2016-10-25;Ciências Exatas e da Terra;2010-12-09;33315;SECEX-SEC EXECUTIVA
F236765;Bianca da Costa;2023-08-22;Engenharias;2015-06-07;33315;SECEX-SEC EXECUTIVA
F236766;Dr. Pedro Henrique Moraes;2023-03-08;Engenharias;2013-06-17;33315;SECEX-SEC EXECUTIVA
F236767;Lorenzo Rodrigues;2021-07-15;Ciências Humanas;2019-12-22;33315;SECEX-SEC EXECUTIVA
F236768;Fernanda Teixeira;2015-11-20;Ciências Biológicas;2014-05-12;33315;SECEX-SEC EXECUTIVA
F236769;Juliana Martins;2021-11-29;Ciências Humanas;2018-04-23;33315;SECEX-SEC EXECUTIVA
F236770;Nathan Moura;2021-04-09;Ciências Exatas e da Terra;2019-12-18;33315;SECEX-SEC EXECUTIVA
F236771;Srta. Sarah Pinto;2023-11-22;Ciências Sociais Aplicadas;2023-05-30;33315;SECEX-SEC EXECUTIVA
F236772;João Lucas Moreira;2019-04-11;Ciências Sociais Aplicadas;2012-11-27;33375;DIRCO-CONTROLADORIA
F236773;André Costa;2018-07-17;Ciências Biológicas;2010-02-15;33375;DIRCO-CONTROLADORIA
F236774;Dr. Guilherme da Rosa;2023-11-02;Ciências da Saúde;2011-08-14;33375;DIRCO-CONTROLADORIA
F236775;Dra. Ana Laura Moura;2015-05-06;Ciências da Saúde;2011-02-11;33375;DIRCO-CONTROLADORIA
F236776;Maria Fernanda Rezende;2019-11-16;Ciências Sociais Aplicadas;2010-03-25;33375;DIRCO-CONTROLADORIA
F236777;Kevin Jesus;2022-05-26;Ciências Humanas;2020-07-23;33375;DIRCO-CONTROLADORIA
F236778;Ana Vitória Cardoso;2019-05-07;Ciências Humanas;2010-04-13;33375;DIRCO-CONTROLADORIA
F236779;Bryan Aragão;2016-05-12;Ciências Sociais Aplicadas;2013-05-02;33375;DIRCO-CONTROLADORIA
F236780;Sr. João Miguel Fogaça;2019-09-01;Ciências Sociais Aplicadas;2012-09-08;33375;DIRCO-CONTROLADORIA
F236781;Cecília Almeida;2023-11-22;Ciências Humanas;2021-06-30;33375;DIRCO-CONTROLADORIA
F236782;Enrico Sales;2023-06-20;Ciências da Saúde;2021-04-16;33375;DIRCO-CONTROLADORIA
F236783;Mariane Gomes;2015-05-17;Ciências Biológicas;2010-04-10;33375;DIRCO-CONTROLADORIA
F236784;Vinicius Silveira;2016-04-21;Engenharias;2009-12-30;33375;DIRCO-CONTROLADORIA
F236785;Lucas da Rocha;2015-12-18;Ciências Sociais Aplicadas;2013-08-24;33375;DIRCO-CONTROLADORIA
